Date mutation;Valeur fonciere;id_bien
02/01/2020;165000;382
02/01/2020;355680;383
02/01/2020;229500;384
02/01/2020;125000;385
02/01/2020;90000;386
02/01/2020;93000;387
02/01/2020;298100;388
02/01/2020;163500;389
02/01/2020;53000;390
02/01/2020;136000;391
02/01/2020;125900;392
02/01/2020;234000;393
02/01/2020;46210;394
02/01/2020;129000;395
02/01/2020;122500;396
02/01/2020;86025;397
02/01/2020;79000;398
02/01/2020;81795;399
02/01/2020;156000;400
02/01/2020;139900;401
02/01/2020;163870;402
02/01/2020;108100;403
02/01/2020;205000;404
02/01/2020;94000;405
02/01/2020;149500;406
02/01/2020;111500;407
02/01/2020;140000;408
02/01/2020;122850;409
02/01/2020;135850;410
02/01/2020;135500;411
02/01/2020;71250;412
02/01/2020;107000;413
02/01/2020;148400;414
02/01/2020;132000;415
02/01/2020;107194;416
02/01/2020;57200;417
02/01/2020;124770;418
02/01/2020;67000;419
02/01/2020;150830;420
02/01/2020;68900;421
02/01/2020;120000;422
02/01/2020;135460;423
02/01/2020;62000;424
02/01/2020;281000;425
02/01/2020;357000;426
02/01/2020;374000;427
02/01/2020;1147650;428
02/01/2020;145000;429
02/01/2020;324120;430
02/01/2020;408220;431
02/01/2020;582670;432
02/01/2020;80000;433
02/01/2020;840250;434
02/01/2020;266000;435
02/01/2020;473000;436
02/01/2020;207200;437
02/01/2020;49000;438
02/01/2020;101250;439
02/01/2020;35000;440
02/01/2020;132000;441
02/01/2020;472950;442
02/01/2020;478161;443
02/01/2020;153700;444
02/01/2020;155800;445
02/01/2020;624000;446
02/01/2020;135700;447
02/01/2020;196000;448
02/01/2020;172850;449
02/01/2020;120500;450
02/01/2020;224000;451
02/01/2020;367000;452
02/01/2020;132840;453
02/01/2020;78500;454
02/01/2020;72000;455
02/01/2020;107100;456
02/01/2020;134000;457
02/01/2020;68181;458
02/01/2020;275900;459
02/01/2020;160000;460
02/01/2020;267740;461
02/01/2020;395300;462
02/01/2020;269000;463
02/01/2020;406400;464
02/01/2020;326500;465
02/01/2020;275050;466
02/01/2020;138000;467
02/01/2020;65000;468
02/01/2020;185750;469
02/01/2020;235000;470
02/01/2020;176000;471
02/01/2020;140000;472
02/01/2020;170950;473
02/01/2020;265000;474
02/01/2020;112000;475
03/01/2020;102000;476
03/01/2020;142000;477
03/01/2020;164000;478
03/01/2020;33880;479
03/01/2020;71000;480
03/01/2020;43000;481
03/01/2020;181875;482
03/01/2020;240250;483
03/01/2020;616900;484
03/01/2020;212550;485
03/01/2020;317800;486
03/01/2020;420000;487
03/01/2020;44000;488
03/01/2020;237720;489
03/01/2020;146000;490
03/01/2020;69350;491
03/01/2020;121000;492
03/01/2020;70000;493
03/01/2020;145000;494
03/01/2020;43000;495
03/01/2020;210800;496
03/01/2020;210000;497
03/01/2020;96000;498
03/01/2020;135000;499
03/01/2020;37000;500
03/01/2020;190000;501
03/01/2020;39450;502
03/01/2020;28500;503
03/01/2020;158800;504
03/01/2020;268800;505
03/01/2020;96450;506
03/01/2020;28000;507
03/01/2020;73470;508
03/01/2020;49500;509
03/01/2020;67000;510
03/01/2020;176000;511
03/01/2020;278300;512
03/01/2020;296651;513
03/01/2020;159500;514
03/01/2020;98545;515
03/01/2020;98200;516
03/01/2020;110500;517
03/01/2020;44500;518
03/01/2020;332000;519
03/01/2020;221060;520
03/01/2020;174845;521
03/01/2020;42000;522
03/01/2020;445000;523
03/01/2020;232750;524
03/01/2020;257800;525
03/01/2020;125000;526
03/01/2020;104792,58;527
03/01/2020;146000;528
03/01/2020;174000;529
03/01/2020;110000;530
03/01/2020;370700;531
03/01/2020;62800;532
03/01/2020;251105;533
03/01/2020;342700;534
03/01/2020;65000;535
03/01/2020;133000;536
03/01/2020;66370;537
03/01/2020;594700;538
03/01/2020;71000;539
03/01/2020;140000;540
03/01/2020;112000;541
03/01/2020;121000;542
03/01/2020;109950;543
03/01/2020;314500;544
03/01/2020;167600;545
03/01/2020;157080;546
03/01/2020;164720;547
03/01/2020;273080;548
03/01/2020;118650;549
03/01/2020;157000;550
03/01/2020;63885;551
03/01/2020;255000;552
03/01/2020;445000;553
03/01/2020;852000;554
03/01/2020;335000;555
03/01/2020;278500;556
03/01/2020;497270;557
03/01/2020;1469500;558
03/01/2020;270000;559
03/01/2020;434000;560
03/01/2020;352000;561
03/01/2020;512000;562
03/01/2020;246150;563
03/01/2020;573721;564
03/01/2020;917350;565
03/01/2020;625500;566
03/01/2020;673315;567
03/01/2020;707350;568
03/01/2020;461200;569
03/01/2020;502700;570
