Voie;Code ID commune;Code postal;Commune;Code departement;Code commune;CODE;Unnamed: 15;Unnamed: 16;No Volume;Unnamed: 18;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales
DU CHATEAU;1;1170.0;CHEVRY;1;103;1103;;;;;48,22;;;;;;;;;2;2;Appartement;;48;3
EDOUARD BAUDOIN;205;6160.0;ANTIBES;6;4;6004;;;;;39,11;;;;;;;;;2;2;Appartement;;40;1
MARCEAU;142;6000.0;NICE;6;88;6088;;;;;80,25;;;;;;;;;1;2;Appartement;;82;3
DES VESPINS RN7;228;6700.0;SAINT LAURENT DU VAR;6;123;6123;;;;;27,51;;;;;;;;;1;2;Appartement;;27;1
LES ARPEGES BD DES ABA;326;13400.0;AUBAGNE;13;5;13005;;;;;47,33;;;;;;;;;1;2;Appartement;;47;2
DU GRAND MADIER;331;13600.0;LA CIOTAT;13;28;13028;;;;;25,31;;;;;;;;;1;2;Appartement;;24;1
DU PRADO;327;13008.0;MARSEILLE 8EME;13;208;13208;;;;;70,84;;;;;;;;;2;2;Appartement;;70;3
DESSUARD;343;13012.0;MARSEILLE 12EME;13;212;13212;;;;;67,19;;;;;;;;;2;2;Appartement;;66;3
DE NORMANDIE;372;14510.0;HOULGATE;14;338;14338;;;;;18,89;;;;;;;;;2;2;Appartement;;19;1
DES NOISETIERS;366;14100.0;LISIEUX;14;366;14366;;;;;105,37;;;;;;;;;2;1;Maison;;99;4
ROUGET DE L ISLE;390;17000.0;LA ROCHELLE;17;300;17300;;;;;31,99;;;;;;;;;1;2;Appartement;;34;2
BERTHE MORISOT;480;25000.0;BESANCON;25;56;25056;;;;;96,21;;;;;;;;;1;1;Maison;;100;5
DU POHER;595;29000.0;QUIMPER;29;232;29232;;;;;30,86;;;;;;;;;2;2;Appartement;;31;1
DES JARDINS;602;29290.0;SAINT RENAN;29;260;29260;;;;;66,21;;;;;;;;;2;2;Appartement;;67;3
DU COMMANDANT TAILLANDIER;732;31500.0;TOULOUSE;31;555;31555;;;;;45,58;;;;;;;;;1;2;Appartement;;46;2
PAUL DENUCE;796;33800.0;BORDEAUX;33;63;33063;;;;;23,2;;;;;;;;;1;2;Appartement;;27;1
SAINTE CATHERINE;783;33000.0;BORDEAUX;33;63;33063;;;;;13,1;;;;;;;;;1;2;Appartement;;12;1
LA BAYNASSE SUD;877;33121.0;CARCANS;33;97;33097;;;;;29;;;;;;;;;1;2;Appartement;;29;2
DE BELFORT;782;33160.0;SAINT MEDARD EN JALLES;33;449;33449;;;;;51,4;;;;;;;;;1;2;Appartement;;51;2
MARC ANTOINE MENARD;907;34400.0;LUNEL;34;145;34145;;;;;16,79;;;;;;;;;2;2;Appartement;;18;1
ANDRE CHASSEFIERE;949;34340.0;MARSEILLAN;34;150;34150;;;;;51,4;;;;;;;;;1;2;Appartement;;51;2
DES ETATS DU LANGUEDOC;948;34120.0;PEZENAS;34;199;34199;;;;;68,22;;;;;;;;;1;2;Appartement;;85;3
JEAN-JACQUES ROUSSEAU;1038;37270.0;MONTLOUIS-SUR-LOIRE;37;156;37156;;;;;88,45;;;;;;;;;1;1;Maison;;89;4
DE GRAMMONT;1035;37000.0;TOURS;37;261;37261;;;;;42,94;;;;;;;;;2;2;Appartement;;46;2
MAL FOCH;1054;38000.0;GRENOBLE;38;185;38185;;;;;76,48;;;;;;;;;2;2;Appartement;;77;4
DU TAILLEUR;1156;40170.0;ST-JULIEN-EN-BORN;40;266;40266;;;;;48,23;;;;;;;;;1;1;Maison;;53;3
MER ET GOLF-LE BOUCANIER;1170;40480.0;VIEUX BOUCAU-LES-BAINS;40;328;40328;;;;;49,91;;;;;;;;;1;2;Appartement;;48;2
JEAN PERRIN;1286;44400.0;REZE;44;143;44143;;;;;46,3;;;;;;;;;2;2;Appartement;;45;2
FERDINAND BUISSON;1326;44600.0;SAINT-NAZAIRE;44;184;44184;;;;;47,24;;;;;;;;;2;2;Appartement;;48;2
DE CHAMPAGNE;1482;51200.0;EPERNAY;51;230;51230;;;;;81,09;;;;;;;;;2;2;Appartement;;79;4
MESSIER;1512;54000.0;NANCY;54;395;54395;;;;;39,69;;;;;;;;;1;2;Appartement;;39;2
GOLF SAINT LAURENT;1595;56400.0;PLOEMEL;56;161;56161;;;;;43,85;;;;;;;;;1;2;Appartement;;44;3
DE PRUNEVEAUX;1618;58000.0;NEVERS;58;194;58194;;;;;108,78;;;;;;;;;1;2;Appartement;;124;4
DU GENERAL DE GAULLE;1642;59100.0;ROUBAIX;59;512;59512;;;;;89,84;;;;;;;;;3;2;Appartement;;71;3
DE NOTRE DAME DU THIL;1698;60000.0;BEAUVAIS;60;57;60057;;;;;48,35;;;;;;;;;1;2;Appartement;;48;2
DE LA VILLE;1734;60660.0;CIRES LES MELLO;60;155;60155;;;;;19,11;;;;;;;;;1;2;Appartement;;18;1
JEAN BAPTISTE CLEMENT;1718;60200.0;COMPIEGNE;60;159;60159;;;;;97,39;;;;;;;;;2;2;Appartement;;97;5
JEAN JAURES;1710;60290.0;RANTIGNY;60;524;60524;;;;;31,73;;;;;;;;;1;2;Appartement;;32;1
DE LA BUSSIERE;1953;69600.0;OULLINS;69;149;69149;;;;;49,89;;;;;;;;;1;2;Appartement;;51;2
ARTAUD;1908;69004.0;LYON 4EME;69;384;69384;;;;;20,02;;;;;;;;;1;2;Appartement;;20;1
D ABONDANCE;2194;74500.0;EVIAN-LES-BAINS;74;119;74119;;;;;34,86;;;;;;;;;2;2;Appartement;;33;2
DU MONT D ARBOIS;2166;74170.0;SAINT GERVAIS LES BAINS;74;236;74236;;;;;39,05;;;;;;;;;1;2;Appartement;;39;2
DE LA TELECABINE;2196;74430.0;SAINT-JEAN-D'AULPS;74;238;74238;;;;;18,93;;;;;;;;;1;2;Appartement;;20;1
DES VALLEES;2162;74300.0;THYEZ;74;278;74278;;;;;88,59;;;;;;;;;1;2;Appartement;;88;4
SAINT MARCEL;3200;75005.0;PARIS 05;75;105;75105;;;;;30,05;;;;;;;;;1;2;Appartement;;41;2
DE MAGENTA;3201;75010.0;PARIS 10;75;110;75110;;;;;32,3;;;;;;;;;2;2;Appartement;;32;2
DE LA REPUBLIQUE;3203;75011.0;PARIS 11;75;111;75111;;;;;120,28;;;;;;;;;2;2;Appartement;;120;4
SAINT MAUR;3203;75011.0;PARIS 11;75;111;75111;;;;;17,94;;;;;;;;;1;2;Appartement;;28;2
DU MOULIN JOLY;3203;75011.0;PARIS 11;75;111;75111;;;;;28,39;;;;;;;;;1;2;Appartement;;28;2
ERARD;3204;75012.0;PARIS 12;75;112;75112;;;;;18;;;;;;;;;2;2;Appartement;;41;2
DE CHARENTON;3204;75012.0;PARIS 12;75;112;75112;;;;;51,44;;;;;;;;;1;2;Appartement;;51;3
D AUSTERLITZ;3204;75012.0;PARIS 12;75;112;75112;;;;;10,06;;;;;;;;;1;2;Appartement;;10;1
EMERIAU;3207;75015.0;PARIS 15;75;115;75115;;;;;88,3;;;;;;;;;2;2;Appartement;;88;4
SQUARE CARPEAUX;3210;75018.0;PARIS 18;75;118;75118;;;;;23,98;;;;;;;;;1;2;Appartement;;18;1
DE CLICHY;3210;75018.0;PARIS 18;75;118;75118;;;;;53,59;;;;;;;;;1;2;Appartement;;39;2
MARCADET;3210;75018.0;PARIS 18;75;118;75118;;;;;24,3;;;;;;;;;1;2;Appartement;;25;2
ALEXANDRE ANQUETIN;2222;76200.0;DIEPPE;76;217;76217;;;;;61,52;;;;;;;;;2;2;Appartement;;59;4
DE LA BRESLE;2211;76130.0;MONT-SAINT-AIGNAN;76;451;76451;;;;;57,27;;;;;;;;;2;2;Appartement;;58;3
FRANCOIS LAPERT;2248;76460.0;SAINT-VALERY-EN-CAUX;76;655;76655;;;;;23,98;;;;;;;;;1;2;Appartement;;25;1
DE LA SOLIDARITE;2341;77410.0;CLAYE-SOUILLY;77;118;77118;;;;;35,32;;;;;;;;;1;2;Appartement;;40;2
HELENE LAZAREFF;2426;78430.0;LOUVECIENNES;78;350;78350;;;;;89,41;;;;;;;;;1;2;Appartement;;89;4
DE DENTON;2411;78180.0;MONTIGNY LE BRETONNEUX;78;423;78423;;;;;106,19;;;;;;;;;2;2;Appartement;;107;5
ROBERT DESNOS;2408;78210.0;SAINT-CYR-L ECOLE;78;545;78545;;;;;67,76;;;;;;;;;2;2;Appartement;;70;4
MAL DE LATTRE DE TASSIGNY;2408;78210.0;SAINT-CYR-L ECOLE;78;545;78545;;;;;40,55;;;;;;;;;1;2;Appartement;;40;2
DE MAREIL;2447;78100.0;SAINT-GERMAIN-EN-LAYE;78;551;78551;;;;;84,31;;;;;;;;;1;2;Appartement;;142;5
MAETERLINCK;2425;78500.0;SARTROUVILLE;78;586;78586;;;;;74;;;;;;;;;1;2;Appartement;;74;3
DIVISION LECLERC;2412;78140.0;VELIZY VILLACOUBLAY;78;640;78640;;;;;49,16;;;;;;;;;2;2;Appartement;;48;2
LES SAVELS;2622;83130.0;LA GARDE;83;62;83062;;;;;50,74;;;;;;;;;1;2;Appartement;;50;2
DE LA SABLIERE CAPTE;2637;83400.0;HYERES;83;69;83069;;;;;20,15;;;;;;;;;1;2;Appartement;;20;1
LE GRAND SOLEIL;2639;83270.0;SAINT-CYR-SUR-MER;83;112;83112;;;;;47,52;;;;;;;;;1;2;Appartement;;38;2
DES PAQUERETTES;2635;83110.0;SANARY SUR MER;83;123;83123;;;;;86,92;;;;;;;;;1;1;Maison;;91;5
CAMPANE;2658;84000.0;AVIGNON;84;7;84007;;;;;37,24;;;;;;;;;1;2;Appartement;;40;2
CARNOT;2728;85300.0;CHALLANS;85;47;85047;;;;;43,12;;;;;;;;;1;2;Appartement;;45;2
DU HAUT POITOU;2736;86360.0;CHASSENEUIL-DU-POITOU;86;62;86062;;;;;30,42;;;;;;;;;1;2;Appartement;;30;1
DES DOUVES;2735;86000.0;POITIERS;86;194;86194;;;;;71,03;;;;;;;;;2;2;Appartement;;75;4
DU CLUZEAU;2744;87170.0;ISLE;87;75;87075;;;;;62,95;;;;;;;;;1;2;Appartement;;62;2
GEORGES BELJEAN;2746;87100.0;LIMOGES;87;85;87085;;;;;43,54;;;;;;;;;1;2;Appartement;;43;2
D ADELAIAU;2924;91470.0;FORGES-LES-BAINS;91;249;91249;;;;;128,34;;;;;;;;;1;2;Appartement;;128;5
DE LA DIVISION LECLERC;2855;91320.0;WISSOUS;91;689;91689;;;;;43,42;;;;;;;;;1;2;Appartement;;43;2
DE VARSOVIE;2950;92700.0;COLOMBES;92;25;92025;;;;;49,45;;;;;;;;;2;2;Appartement;;55;3
GEORGES CLEMENCEAU;2945;92400.0;COURBEVOIE;92;26;92026;;;;;62,1;;;;;;;;;2;2;Appartement;;65;3
GEORGES THORETTON;2949;92230.0;GENNEVILLIERS;92;36;92036;;;;;59,35;;;;;;;;;1;2;Appartement;;59;3
JULES GUESDE;2952;92300.0;LEVALLOIS-PERRET;92;44;92044;;;;;52,85;;;;;;;;;1;2;Appartement;;55;2
SAINTE FOY;3011;93220.0;GAGNY;93;32;93032;;;;;106,31;;;;;;;;;1;1;Maison;;90;4
JOSEPHINE;3012;93160.0;NOISY-LE-GRAND;93;51;93051;;;;;77,93;;;;;;;;;1;2;Appartement;;77;4
JULES AUFFRET;2984;93320.0;LES PAVILLONS-SOUS-BOIS;93;57;93057;;;;;46;;;;;;;;;1;2;Appartement;;46;2
GASTON BUSSIERE;3003;93270.0;SEVRAN;93;71;93071;;;;;24,63;;;;;;;;;1;2;Appartement;;24;2
CLAUDE BERNARD;3050;94450.0;LIMEIL-BREVANNES;94;44;94044;;;;;67,1;;;;;;;;;1;2;Appartement;;67;3
DE PROVENCE;3047;94510.0;LA QUEUE-EN-BRIE;94;60;94060;;;;;80;;;;;;;;;1;1;Maison;;66;4
DU CLOS SAINT NICOLAS;3047;94510.0;LA QUEUE-EN-BRIE;94;60;94060;;;;;48,02;;;;;;;;;1;2;Appartement;;49;2
DE L EGALITE;3061;94300.0;VINCENNES;94;80;94080;;;;;16,37;;;;;;;;;1;2;Appartement;;17;1
DE LA FOSSE AUX BICHES;3136;95130.0;FRANCONVILLE LA GARENNE;95;252;95252;;;;;72,53;;;;;;;;;2;2;Appartement;;69;4
DU VEXIN;3068;95180.0;MENUCOURT;95;388;95388;;;;;90,07;;;;;;;;;1;1;Maison;;93;5
LES LIGNIERES;3139;95150.0;TAVERNY;95;607;95607;;;;;57,1;;;;;;;;;2;2;Appartement;;56;3
NEUVE;48;1120.0;MONTLUEL;1;262;1262;;;;;41,82;;;;;;;;;1;2;Appartement;;47;1
FERNAND THUILLART;55;2000.0;LAON;2;408;2408;;;;;165,11;;;;;;;;;4;2;Appartement;;156;6
